186,121,208,121,208,134,186,134
209,124,241,124,241,132,209,132
245,124,281,124,281,133,245,133
325,120,341,120,341,132,325,132
341,118,360,118,360,132,341,132
360,118,404,118,404,132,360,132
405,118,437,118,437,130,405,130
438,118,446,118,446,130,438,130
446,124,453,124,453,132,446,132
454,121,462,121,462,132,454,132
461,116,478,116,478,129,461,129
481,120,513,120,513,129,481,129
;93,132,125,132,125,145,93,145
125,132,141,132,141,145,125,145
141,133,194,133,194,146,141,146
194,136,217,136,217,148,194,148
218,133,237,133,237,146,218,146
237,134,280,134,280,146,237,146
328,137,341,137,341,146,328,146
344,133,356,133,356,145,344,145
358,136,390,136,390,145,358,145
400,136,420,136,420,145,400,145
422,133,445,133,445,146,422,146
448,130,465,130,465,144,448,144
468,135,512,129,514,142,469,147
;93,149,114,149,114,158,93,158
132,146,216,146,216,160,132,160
224,152,244,152,244,160,224,160
245,148,258,148,258,160,245,160
260,150,281,150,281,164,260,164
325,148,338,148,338,160,325,160
342,149,365,149,365,162,342,162
368,150,386,150,386,160,368,160
388,146,466,146,466,162,388,162
467,145,510,141,511,156,469,160
;92,161,133,161,133,176,92,176
133,161,146,161,146,173,133,173
146,163,221,161,221,175,146,177
222,165,248,165,248,177,222,177
249,165,262,165,262,174,249,174
264,166,278,166,278,174,264,174
328,160,381,162,381,177,327,175
384,161,417,161,417,173,384,173
421,164,450,164,450,173,421,173
457,161,501,161,501,186,457,186
481,158,514,158,514,170,481,170
;93,174,112,174,112,188,93,188
113,174,130,174,130,186,113,186
133,176,162,176,162,188,133,188
163,177,207,172,209,187,165,192
210,174,255,176,254,189,210,187
257,175,280,177,279,189,256,187
327,180,362,176,363,188,328,192
362,176,377,176,377,188,362,188
378,176,422,176,422,188,378,188
424,176,438,176,438,188,424,188
438,173,457,173,457,186,438,186
500,172,514,172,514,184,500,184
;65,190,81,190,81,200,65,200
93,190,108,190,108,201,93,201
110,189,118,189,118,201,110,201
117,189,160,189,160,201,117,201
166,193,198,193,198,202,166,202
198,190,225,190,225,202,198,202
225,189,246,189,246,202,225,202
249,192,258,192,258,202,249,202
256,189,282,189,282,218,256,218
326,193,345,193,345,202,326,202
345,189,396,189,396,202,345,202
373,196,413,196,413,216,373,216
402,193,409,193,409,204,402,204
410,189,425,189,425,201,410,201
426,192,442,192,442,201,426,201
442,189,474,189,474,216,442,216
473,186,516,186,516,201,473,201
;56,201,84,201,84,210,56,210
92,202,109,202,109,214,92,214
116,206,124,206,124,217,116,217
124,202,160,202,160,216,124,216
162,202,177,202,177,216,162,216
177,202,196,202,196,216,177,216
197,206,220,206,220,218,197,218
220,204,256,204,256,217,220,217
328,206,341,206,341,216,328,216
342,208,373,208,373,216,342,216
420,206,425,206,425,216,420,216
424,202,461,202,461,230,424,230
468,201,497,201,497,213,468,213
498,204,516,204,516,213,498,213
;54,221,74,221,74,233,54,233
76,224,88,224,88,233,76,233
93,220,108,220,108,228,93,228
110,218,173,218,173,229,110,229
172,217,185,217,185,229,172,229
185,217,219,221,218,233,184,229
218,220,233,220,233,230,218,230
236,222,257,222,257,233,236,233
257,220,280,220,280,230,257,230
328,218,354,218,354,230,328,230
356,220,381,220,381,230,356,230
382,221,396,221,396,230,382,230
400,218,421,218,421,229,400,229
460,217,465,217,465,226,460,226
465,214,517,214,517,229,465,229
;93,233,112,233,112,242,93,242
112,228,159,231,158,245,111,242
166,232,178,232,178,244,166,244
177,233,225,229,225,243,178,247
226,236,241,236,241,244,226,244
241,232,254,232,254,244,241,244
257,234,280,234,280,245,257,245
329,232,362,232,362,246,329,246
362,232,378,232,378,244,362,244
378,232,396,232,396,244,378,244
396,232,437,232,437,244,396,244
438,234,452,234,452,242,438,242
453,229,496,229,496,244,453,244
497,230,516,230,516,244,497,244
;92,246,115,248,114,258,91,256
113,246,132,246,132,257,113,257
132,244,168,244,168,257,132,257
176,249,201,249,201,260,176,260
202,249,222,249,222,258,202,258
221,245,268,245,268,258,221,258
268,246,280,246,280,258,268,258
330,248,341,248,341,257,330,257
342,246,397,246,397,258,342,258
398,245,414,245,414,257,398,257
413,245,432,245,432,257,413,257
433,241,479,243,478,257,432,255
489,244,513,244,513,254,489,254
;92,258,148,258,148,272,92,272
152,261,166,261,166,272,152,272
170,261,204,261,204,272,170,272
225,262,270,258,271,272,227,277
329,260,390,257,391,271,330,274
394,262,409,262,409,272,394,272
414,262,428,262,428,272,414,272
432,258,458,258,458,270,432,270
464,256,518,256,518,269,464,269
;92,272,121,272,121,285,92,285
126,277,162,277,162,285,126,285
164,274,172,274,172,286,164,286
170,273,192,273,192,285,170,285
193,277,208,277,208,286,193,286
209,276,250,276,250,286,209,286
252,274,280,274,280,286,252,286
337,275,381,273,381,285,337,286
388,277,400,277,400,285,388,285
401,276,432,276,432,285,401,285
434,274,478,274,478,288,434,288
478,273,507,269,509,283,480,287
508,272,518,272,518,282,508,282
;90,286,138,286,138,300,90,300
146,292,153,292,153,302,146,302
156,288,197,290,197,302,155,299
